name,address,icon,userComment,rating,tags,photos
"Le Chauve qui rit - Bar à jeux de société et Boutique","29 Rue de Maubeuge, 75009 Paris, France","bar","","","À essayer#Jeux",""
"La Belle Vie","39 Rue de Belleville, Paris","restaurant","","","Bar#Cafe#Tranquilou",""
"Le Poulpe","14 Rue Rampal, Paris","restaurant","","","Bar",""
"Le Magnolia Café","29 Rue Saint-Blaise, Paris","cafe","","","À essayer#Bar#Cafe",""
"Les Rêveuses","15 Rue Saint-Blaise, Paris","restaurant","","5","Bar#Cafe#Tranquilou",""
"Pozzetto","56 Rue du Roi de Sicile, 75004 Paris, France","generic","","","À essayer#Glaces",""
"Comme à Lisbonne","37 Rue du Roi de Sicile, Paris","restaurant","","","Grignotage",""
"Le Pick Clops","16 Rue Vieille du Temple, Paris","bar","","","Bar#Cafe",""
"Bada Bunta","18 Rue de Jouy, 75004 Paris, France","generic","Vêtements/ objets / tissus au mètre ","","À essayer#Mercerie",""
"Oyster Club","15 Rue de Jouy, Paris","restaurant","","","À essayer#Restaurant",""
"MAISON LANDEMAINE BEAUMARCHAIS","28 Boulevard Beaumarchais, Paris","restaurant","","","À essayer#Boulangerie#Cafe",""
"Maison Plisson","93 Boulevard Beaumarchais, Paris","restaurant","","","À essayer#Restaurant",""
"Blondie Coffee Shop","27 Rue du Château d'Eau Paris 75010","cafe","","","Sandwich#Grignotage#Cafe",""
"Bibliothèque Gutenberg","8 Rue de la Montagne d'Aulas, 75015 Paris, France","library","Cour cachée ","","À essayer#Parc & Nature#Tranquilou#Bibliotheque",""
"Monbleu Faubourg Montmartre","37 Rue du Faubourg Montmartre, 75009 Paris, France","restaurant","Raclette volonté ","","À essayer#Restaurant",""
"Poupette biscuiterie funky","Rue Richard Lenoir, 75011 Paris, France","generic","","","À essayer#Grignotage",""
"Le P'tit Breton","12 Rue de Port Mahon, 75002 Paris, France","restaurant","Crêpes à volonté ","","À essayer#Restaurant",""
"Krügen","4 Rue du Général Renault, 75011 Paris, France","restaurant","Crêperie avec galette saucisse bonne","","À essayer#Restaurant",""
"Café Pli","38 Rue du Faubourg du Temple, 75011 Paris, France","cafe","Lettre pour moi dans un an","","À essayer#Cafe#Insolite",""
"Tour beffroi horloge","Avenue Rapp, 75007 Paris, France","generic","","","À essayer#Insolite",""
"Banh Mi","81 Rue de Turbigo, 75003 Paris, France","restaurant","","","À essayer#Sandwich",""
"Le cimetière des chiens","4 pont de Clichy, 92600 Asnières-sur-Seine, France","generic","","","À essayer#A visiter#Insolite",""
"Barak","62 Rue du Faubourg Poissonnière, 75010 Paris, France","restaurant","Sandwich halloumi ","","À essayer#Sandwich",""
"Kiji","5 Rue Gaillon, 75002 Paris, France","restaurant","Japonais tatami ","","À essayer#Cafe",""
"Hoct&Loca","99 Rue de la Verrerie, 75004 Paris, France","restaurant","Glaces enrobees de chocolat","","À essayer#Glaces",""
"Výtopna Railway Restaurant - Palladium","náměstí Republiky 1/1078","restaurant","","","À essayer#Restaurant",""
"Le Voltigeur","45 Rue des Francs-Bourgeois, 75004 Paris, France","restaurant","","","Bar#Cafe#Coworking",""
"Zai zai cafe","10 Rue Dubrunfaut, 75012 Paris, France","generic","","","Jeux#Restaurant",""
"La Pulperia Carnar","21 Rue du Chalet, 75010 Paris, France","supermarket","","","À essayer#Restaurant",""
"Les Huîtres de Trousse Chemise","Route de la Levée Verte, 17880 Les Portes-en-Ré, France","supermarket","","","À essayer#Grignotage",""
"Karashibi Miso Ramen Kikanbo Kanda","〒101-0044, 東京都千代田区, 鍛冶町2丁目10-9 みかもビル 1F","restaurant","","","À essayer#Restaurant",""
"L'Huitriere de Ré - Dégustation de Fruits de Mer - Boutique & Distributeur 24 24","Lieu-dit La Maison Neuve, 17590 Ars-en-Ré, France","supermarket","","","À essayer#Grignotage",""
"Jardin des Plantes","28 Rue Albert Ier, 17000 La Rochelle, France","park","","","Parc & Nature#Kids",""
"Ernest le glacier","48 Cours des Dames, 17000 La Rochelle, France","restaurant","","","À essayer#Glaces",""
"Roméo - Créateur Givré","21 Quai Valin, 17000 La Rochelle, France","restaurant","","","Glaces",""
"Tonton Maboule","3 Quai Valin, 17000 La Rochelle, France","restaurant","","","À essayer#Glaces",""
"Label Escale","57 Rue du Maréchal Joffre, 44000 Nantes, France","cafe","Super cher","","À essayer#Coworking",""
"Le Café de l'Orangerie","15 Rue Gambetta, 44000 Nantes, France","restaurant","","","À essayer#Coworking#Cafe",""
"Billie's","25 Quai François Mitterrand, 44200 Nantes, France","restaurant","","","À essayer#Restaurant",""
"Musée des beaux-arts de Nantes","10 Rue Georges Clémenceau, 44000 Nantes, France","museum","","","À essayer#Cafe#Musee",""
"La Maison","36 Rue de la Noué Bras de Fer, 44200 Nantes, France","bakery","","","À essayer#Boulangerie",""
"La Maison Café","4 Rue Lebrun, 44000 Nantes, France","nightclub","","","À essayer#Bar#Cafe#Coworking",""
"Magmaa Food Hall Nantes","15 Rue La Nouë Bras de Fer, 44200 Nantes, France","restaurant","","","À essayer#Marché#Restaurant",""
"Musée Jules Verne","3 Rue de l'Hermitage, 44100 Nantes, France","museum","","","À essayer#Musee",""
"Trentemoult","Quai Robert Surcouf & Quai Marcel Boissard, 44400 Rezé, France","generic","","","À essayer#A visiter",""
"Stand By Coffee","6 Place François II, 44200 Nantes, France","cafe","","","À essayer#Coworking#Cafe",""
